Number    Value       Result                                  
1         1.00        Odd_min error: log argument < 0         
2         1.01        2.1144152072540945                      
3         1.02        Odd_min error: log argument < 0         
4         1.03        2.084267820826674                       
5         1.04        Odd_min error: log argument < 0         
6         1.05        2.056777173648646                       
7         1.06        Odd_min error: log argument < 0         
8         1.07        2.0315323741471376                      
9         1.08        Odd_min error: log argument < 0         
10        1.09        2.0082124828495127                      
11        1.10        Odd_min error: log argument < 0         
12        1.11        1.9865620409918123                      
13        1.12        Odd_min error: log argument < 0         
14        1.13        1.9663743942251886                      
15        1.14        Odd_min error: log argument < 0         
16        1.15        1.9474800094097287                      
17        1.16        Odd_min error: log argument < 0         
18        1.17        1.9297380914306512                      
19        1.18        Odd_min error: log argument < 0         
20        1.19        1.9130304410636303                      
21        1.20        Odd_min error: log argument < 0         
22        1.21        1.8972568713307925                      
23        1.22        Odd_min error: log argument < 0         
24        1.23        1.8823317306518033                      
25        1.24        Odd_min error: log argument < 0         
26        1.25        1.868181226817                          
27        1.26        Odd_min error: log argument < 0         
28        1.27        1.854741340162606                       
29        1.28        Odd_min error: log argument < 0         
30        1.29        1.8419561768268538                      
31        1.30        Odd_min error: log argument < 0         
32        1.31        1.8297766552217272                      
33        1.32        Odd_min error: log argument < 0         
34        1.33        1.8181594479569545                      
35        1.34        Odd_min error: log argument < 0         
36        1.35        1.8070661218352724                      
37        1.36        Odd_min error: log argument < 0         
38        1.37        1.7964624330352417                      
39        1.38        Odd_min error: log argument < 0         
40        1.39        1.7863177450543772                      
41        1.40        Odd_min error: log argument < 0         
42        1.41        1.7766045446252918                      
43        1.42        Odd_min error: log argument < 0         
44        1.43        1.767298036468308                       
45        1.44        Odd_min error: log argument < 0         
46        1.45        1.7583758019676092                      
47        1.46        Odd_min error: log argument < 0         
48        1.47        1.7498175100497309                      
49        1.48        Odd_min error: log argument < 0         
50        1.49        1.7416046709770248                      
51        1.50        Odd_min error: log argument < 0         
52        1.51        1.7337204256413348                      
53        1.52        Odd_min error: log argument < 0         
54        1.53        1.726149364396833                       
55        1.54        Odd_min error: log argument < 0         
56        1.55        1.7188773706076153                      
57        1.56        Odd_min error: log argument < 0         
58        1.57        1.711891484980908                       
59        1.58        Odd_min error: log argument < 0         
60        1.59        1.7051797874675583                      
61        1.60        Odd_min error: log argument < 0         
62        1.61        1.6987312940788322                      
63        1.62        Odd_min error: log argument < 0         
64        1.63        1.6925358664242032                      
65        1.64        Odd_min error: log argument < 0         
66        1.65        1.686584132143571                       
67        1.66        Odd_min error: log argument < 0         
68        1.67        1.6808674147068254                      
69        1.68        Odd_min error: log argument < 0         
70        1.69        1.675377671298065                       
71        1.70        Odd_min error: log argument < 0         
72        1.71        1.6701074377031777                      
73        1.72        Odd_min error: log argument < 0         
74        1.73        1.665049779284806                       
75        1.74        Odd_min error: log argument < 0         
76        1.75        1.660198247266428                       
77        1.76        Odd_min error: log argument < 0         
78        1.77        1.6555468396616269                      
79        1.78        Odd_min error: log argument < 0         
80        1.79        1.6510899662800662                      
